Date,Open,High,Low,Close,Adj Close,Volume
01/12/2014,5.22,5.25,5.1375,5.145,4.944297,19006000
02/12/2014,5.14,5.175,5.0925,5.1525,4.951506,24595200
03/12/2014,5.1775,5.2875,5.1625,5.285,5.078837,28442400
04/12/2014,5.2775,5.2975,5.2025,5.2375,5.033189,18533200
05/12/2014,5.24,5.295,5.2375,5.2675,5.062019,16568000
08/12/2014,5.26,5.3125,5.1575,5.2,4.997154,22694400
09/12/2014,5.1675,5.195,5.09,5.1825,4.980335,23944800
10/12/2014,5.1675,5.1875,5.0625,5.0675,4.869822,20436400
11/12/2014,5.0975,5.1325,5.055,5.065,4.867418,13565200
12/12/2014,4.9975,5.0425,4.9025,4.9075,4.716061,32396400
15/12/2014,4.965,5.055,4.8775,4.8925,4.701647,25469600
16/12/2014,4.8875,4.965,4.835,4.8375,4.648793,18530800
17/12/2014,4.935,5.0425,4.775,5.035,4.838589,34559600
18/12/2014,5.0975,5.1575,5.0075,5.055,4.85781,22615600
19/12/2014,5.09,5.125,5.0425,5.105,4.905859,32552800
22/12/2014,5.1,5.195,5.0825,5.195,4.992348,14897600
23/12/2014,5.235,5.26,5.1575,5.1625,4.961114,10928000
24/12/2014,5.175,5.1825,5.1375,5.1425,4.941896,4564400
26/12/2014,5.1425,5.175,5.13,5.1475,4.946701,5263600
29/12/2014,5.1325,5.175,5.1075,5.14,4.939492,8294400
30/12/2014,5.105,5.13,5.085,5.0925,4.893846,11212000
31/12/2014,5.1,5.1275,4.9975,5.0125,4.816967,16630000
02/01/2015,5.0325,5.07,4.9525,5.0325,4.836186,11368000
05/01/2015,5.0325,5.0475,4.925,4.9475,4.754503,19795200
06/01/2015,4.955,4.96,4.7925,4.7975,4.610354,19776400
07/01/2015,4.8325,4.875,4.77,4.785,4.598341,32180800
08/01/2015,4.84,4.995,4.8375,4.965,4.77132,28378000
09/01/2015,4.9825,5.0225,4.915,4.985,4.79054,20954000
12/01/2015,4.9975,5,4.8775,4.9225,4.730478,19073200
13/01/2015,4.96,5.06,4.88,4.915,4.72327,23672000
14/01/2015,4.8625,4.95,4.85,4.935,4.74249,15526000
15/01/2015,4.97,5,4.8975,4.9,4.708855,18893200
16/01/2015,4.8925,4.995,4.8775,4.99,4.795344,18151200
20/01/2015,5.025,5.0525,4.9425,5.005,4.809758,14030800
21/01/2015,4.9775,5.0875,4.9425,5.075,4.877027,14478000
22/01/2015,5.085,5.1775,5.0325,5.1625,4.961114,15971200
23/01/2015,5.1675,5.1875,5.125,5.1775,4.97553,12041600
26/01/2015,5.155,5.18,5.1225,5.155,4.953908,13324000
27/01/2015,5.075,5.08,4.8975,4.9075,4.716061,35794800
28/01/2015,4.9675,4.9875,4.825,4.8275,4.639182,27272800
29/01/2015,4.83,4.9725,4.8075,4.945,4.752099,23534000
30/01/2015,4.91,4.9675,4.7925,4.8,4.612756,29820000
02/02/2015,4.83,4.925,4.735,4.905,4.71366,25960400
03/02/2015,4.94,5.0325,4.915,5.0275,4.831381,18346800
04/02/2015,5.0125,5.0975,4.9975,5.04,4.843392,18151600
05/02/2015,5.045,5.125,5.04,5.1225,4.922676,14044800
06/02/2015,5.1175,5.1775,5.0775,5.1,4.901053,21052400
09/02/2015,5.07,5.11,5.0375,5.095,4.896247,27394400
10/02/2015,5.1,5.24,5.0775,5.2375,5.033189,22620400
11/02/2015,5.25,5.25,5.1675,5.2025,4.999554,32083200
12/02/2015,5.5,5.625,5.4675,5.575,5.357523,67690400
13/02/2015,5.5625,5.585,5.4775,5.5775,5.359927,31008400
17/02/2015,5.5675,5.6225,5.5325,5.595,5.376743,20334000
18/02/2015,5.5875,5.5975,5.52,5.53,5.31428,17094800
19/02/2015,5.6,5.61,5.52,5.545,5.328695,16943200
20/02/2015,5.54,5.5875,5.5,5.585,5.367135,15775200
23/02/2015,5.5825,5.5825,5.5125,5.54,5.32389,12500800
24/02/2015,5.54,5.5775,5.49,5.5775,5.380565,14935600
25/02/2015,5.555,5.58,5.51,5.535,5.339566,12382000
26/02/2015,5.54,5.5825,5.505,5.55,5.354036,15286400
27/02/2015,5.535,5.5475,5.495,5.515,5.320271,15749200
02/03/2015,5.5,5.68,5.4925,5.65,5.450504,30151200
03/03/2015,5.6075,5.635,5.5275,5.545,5.349212,16034400
04/03/2015,5.525,5.62,5.5025,5.6075,5.409506,22684000
05/03/2015,5.6075,5.725,5.5925,5.715,5.51321,32305600
06/03/2015,5.6825,5.71,5.6325,5.6375,5.438447,25739200
09/03/2015,5.64,5.695,5.6275,5.6525,5.452918,22238800
10/03/2015,5.6775,5.7875,5.6675,5.75,5.546974,52721200
11/03/2015,5.75,5.825,5.705,5.72,5.518034,26212000
12/03/2015,5.665,5.7075,5.56,5.6675,5.467386,40697200
13/03/2015,5.64,5.69,5.5625,5.675,5.474622,35928800
16/03/2015,5.72,5.7775,5.6825,5.7425,5.539739,23695600
17/03/2015,5.73,5.815,5.69,5.8125,5.607267,29990000
18/03/2015,5.8125,5.8425,5.665,5.7175,5.515622,41384400
19/03/2015,5.7375,5.825,5.695,5.805,5.600033,31075600
20/03/2015,5.8525,5.9025,5.7975,5.8675,5.660326,46208400
23/03/2015,5.6925,5.7675,5.675,5.6775,5.477033,42601200
24/03/2015,5.66,5.7,5.575,5.6,5.402268,33048000
